FaceImage,Center_X_px,Center_Y_px
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face00.png,1085,854
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face01.png,538,824
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face02.png,207,802
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face03.png,806,759
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face04.png,275,553
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face05.png,677,514
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face06.png,1226,456
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face07.png,934,427
_Tag Kamera_Virtuelle Kamera2025-06-05 12_50_15.0088_face08.png,465,354
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face00.png,326,870
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face01.png,1143,850
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face02.png,823,830
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face03.png,552,634
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face04.png,895,562
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face05.png,175,511
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face06.png,1234,454
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face07.png,441,363
_Tag Kamera_Virtuelle Kamera2025-06-05 12_53_03.7565_face08.png,772,297
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face00.png,990,909
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face01.png,286,841
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face02.png,699,801
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face03.png,1225,688
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face04.png,509,597
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face05.png,154,458
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face06.png,825,387
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face07.png,1119,319
_Tag Kamera_Virtuelle Kamera2025-06-05 12_58_43.6759_face08.png,491,313
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face00.png,1045,930
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face01.png,677,863
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face02.png,351,776
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face03.png,1258,633
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face04.png,1002,627
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face05.png,504,499
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face06.png,742,442
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face07.png,215,377
_Tag Kamera_Virtuelle Kamera2025-06-05 13_00_40.8366_face08.png,1114,342
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face00.png,706,882
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face01.png,990,855
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face02.png,317,776
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face03.png,949,595
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face04.png,544,562
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face05.png,754,351
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face06.png,205,364
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_09.0777_face07.png,1146,291
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face00.png,968,924
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face01.png,691,875
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face02.png,365,780
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face03.png,1283,709
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face04.png,1006,568
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face05.png,588,500
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face06.png,229,338
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face07.png,799,315
_Tag Kamera_Virtuelle Kamera2025-06-05 13_02_42.6936_face08.png,1187,290
